"Font","Filename","Familyname","Fullname","weight","style","TTF_Font","TTF_Familyname","TTF_Fullname","TTF_weight","TTF_style","TEX_Name","Slanted_Name","SmallCaps_Name","Outline_Name","Shadow_Name","Wireframe_Name"
"LinBiolinumFOI","LinBiolinum_aFI","Linux Biolinum Wireframe O","Linux Biolinum Wireframe O Italic","Book","Wireframe Italic","LinBiolinumFI","Linux Biolinum Wireframe","Linux Biolinum Wireframe Italic","Book","Wireframe Italic","fxbfi",,,,,
"LinBiolinumOB","LinBiolinum_RB","Linux Biolinum O","Linux Biolinum O Bold","Bold","Bold","LinBiolinumB","Linux Biolinum","Linux Biolinum Bold","Bold","Bold","fxbb","LinBiolinumSlantedOB","LinBiolinumCapitalsOB","LinBiolinumUOB","LinBiolinumWOB","LinBiolinumFOB"
"LinBiolinumSlantedOB","LinBiolinum_aBL","Linux Biolinum Slanted O","Linux Biolinum Slanted O Bold","Bold","Bold Slanted","LinBiolinumSlantedB","Linux Biolinum Slanted","Linux Biolinum Slanted Bold","Bold","Bold Slanted","fxbbo",,,,,
"LinBiolinumCapitalsOB","LinBiolinum_aSB","Linux Biolinum Capitals O","Linux Biolinum Capitals O Bold","Bold","Bold Small Caps","LinBiolinumCapitalsB","Linux Biolinum Capitals","Linux Biolinum Capitals Bold","Bold","Bold Small Caps",,,,,,
"LinBiolinumUOB","LinBiolinum_aUB","Linux Biolinum Outline O","Linux Biolinum Outline O Bold","Bold","Bold Outline","LinBiolinumOutlineB","Linux Biolinum Outline","Linux Biolinum Outline Bold","Bold","Bold Outline","fxbob","LinBiolinumSlantedULOB",,,,
"LinBiolinumSlantedULOB","LinBiolinum_aULB","Linux Biolinum Outline Slanted O","Linux Biolinum Outline Slanted O","Bold","Bold Outline Slanted","LinBiolinumSlantedULB","Linux Biolinum Outline Slanted","Linux Biolinum Outline Slanted","Bold","Bold Outline Slanted","fxbobo",,,,,
"LinBiolinumWOB","LinBiolinum_aWB","Linux Biolinum Shadow O","Linux Biolinum Shadow O Bold","Bold","Bold Shadow","LinBiolinumShadowB","Linux Biolinum Shadow","Linux Biolinum Shadow Bold","Bold","Bold Shadow","fxbsb",,,,,
"LinBiolinumSlantedWLOB","LinBiolinum_aWLB","Linux Biolinum Shadow Slanted O","Linux Biolinum Shadow Slanted O","Bold","Bold Shadow Slanted","LinBiolinumShadowWLB","Linux Biolinum Shadow Slanted","Linux Biolinum Shadow Slanted","Bold","Bold Shadow Slanted","fxbsbo",,,,,
"LinBiolinumFOB","LinBiolinum_aFB","Linux Biolinum Wireframe O","Linux Biolinum Wireframe O Bold","Bold","Bold Wireframe","LinBiolinumWireframeB","Linux Biolinum Wireframe","Linux Biolinum Wireframe Bold","Bold","Bold Wireframe","fxbfb",,,,,
"LinBiolinumSlantedFLOB","LinBiolinum_aFLB","Linux Biolinum Wireframe Slanted O","Linux Biolinum Wireframe Slanted O","Bold","Bold Wireframe Slanted","LinBiolinumWireframeFLB","Linux Biolinum Wireframe Slanted","Linux Biolinum Wireframe Slanted","Bold","Bold Wireframe Slanted","fxbfbo",,,,,
"LinBiolinumOKb","LinBiolinum_K","Linux Biolinum Keyboard O","Linux Biolinum Keyboard O","Book","Regular","LinBiolinumK","Linux Biolinum Keyboard","Linux Biolinum Keyboard","Book","Regular","fxbk",,,,,
